Country_From,Country_to,Distance,Gravity,Flow(log),Flow(Fij + Fji),Offset,Offset (abs),GDP A,GDP B,GDP Diff,GDP Diff(abs),Latitude_from,Longitude_from,Latitude_to,Longitude_to,pop_from,pop_to
AR,UG,10095,17850633.36,1.945910149,7,-1.199247394,1.199247394,12449.21685,615.3088032,11833.90805,11833.90805,-38.416097,-63.616672,1.373333,32.290275,43847430,41487965
AR,UA,12759,12121830.55,0,1,-1.181850493,1.181850493,12449.21685,2185.728031,10263.48882,10263.48882,-38.416097,-63.616672,48.379433,31.16558,43847430,45004645
AR,HT,6037,13050429.49,0.693147181,2,-1.123997215,1.123997215,12449.21685,739.5954363,11709.62141,11709.62141,-38.416097,-63.616672,18.971187,-72.285215,43847430,10847334
AR,VN,17011,14046539.4,1.098612289,3,-1.120532372,1.120532372,12449.21685,2185.690282,10263.52657,10263.52657,-38.416097,-63.616672,14.058324,108.277199,43847430,92701100
AR,KE,10428,19540674.54,3.135494216,23,-1.063739911,1.063739911,12449.21685,1455.359765,10993.85709,10993.85709,-38.416097,-63.616672,-0.023559,37.906193,43847430,48461567
AR,HN,6163,10519978.2,0,1,-1.040118624,1.040118624,12449.21685,2361.15762,10088.05923,10088.05923,-38.416097,-63.616672,15.199999,-86.241905,43847430,9112867
AR,MW,9387,9002577.829,0,1,-0.88435345,0.88435345,12449.21685,300.7948251,12148.42202,12148.42202,-38.416097,-63.616672,-13.254308,34.301525,43847430,18091575
AR,YE,12080,8288403.254,0,1,-0.801699828,0.801699828,12449.21685,990.334774,11458.88208,11458.88208,-38.416097,-63.616672,15.552727,48.516388,43847430,27584213
AR,BJ,7803,7829648.709,0,1,-0.744760133,0.744760133,12449.21685,789.4404107,11659.77644,11659.77644,-38.416097,-63.616672,9.30769,2.315834,43847430,10872298
AR,PH,17783,14325817.59,3.433987204,31,-0.69660504,0.69660504,12449.21685,2951.071929,9498.144921,9498.144921,-38.416097,-63.616672,12.879721,121.774017,43847430,103320222
