country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs,offsetabs
BE,IQ,3711.4272,17.2381,2.0794,-1.6615,36486.5566,36486.5566,1.6615
US,IQ,11135.858,18.3896,7.6014,-1.6589,52857.1864,52857.1864,1.6589
BS,EC,2988.514,13.4839,0,1.6582,17155.4024,17155.4024,1.6582
CY,PK,3381.5515,16.7997,0,-1.6576,21856.0088,21856.0088,1.6576
PH,ZA,11566.6417,17.5808,3.7377,-1.6576,-2322.522,2322.522,1.6576
NZ,IN,11970.8875,17.5851,3.7612,-1.657,37717.2356,37717.2356,1.657
EE,TR,2301.9498,16.7989,0,-1.6568,6787.078,6787.078,1.6568
ZA,BJ,4949.6774,17.0268,1.0986,-1.6552,4484.1535,4484.1535,1.6552
TH,UG,7689.8028,17.6933,4.2905,-1.6545,5292.6046,5292.6046,1.6545
BR,LR,5220.3538,17.3753,2.7726,-1.6538,8194.5778,8194.5778,1.6538
CO,MN,14293.0446,13.4884,0,1.6537,2119.1536,2119.1536,1.6537
SE,HT,8237.5047,14.2749,3.7612,1.6532,50860.2734,50860.2734,1.6532
UZ,KH,5053.9885,16.7938,0,-1.6517,840.7406,840.7406,1.6517
NZ,TZ,13363.8797,14.1941,3.3673,1.6517,38547.4297,38547.4297,1.6517
PE,SV,2979.6287,16.9382,0.69315,-1.6513,1822.0655,1822.0655,1.6513
ES,UG,5660.5839,17.9121,5.3566,-1.6505,25913.183,25913.183,1.6505
AU,VN,5173.3195,18.2412,6.9412,-1.6485,47742.1292,47742.1292,1.6485
HR,PE,10746.6073,13.953,2.1972,1.6482,6045.0165,6045.0165,1.6482
RU,GE,4531.9292,17.0789,1.3863,-1.6472,4894.7146,4894.7146,1.6472
DK,ZW,8571.3674,14.0465,2.6391,1.6471,52409.067,52409.067,1.6471
UY,PH,17816.5654,13.9297,2.0794,1.6469,12269.4941,12269.4941,1.6469
JP,ZA,14086.8366,17.3929,2.8904,-1.6468,33620.8739,33620.8739,1.6468
JP,YE,8971.2024,17.5889,3.8286,-1.6466,37904.133,37904.133,1.6466
AU,BF,15119.8841,14.4925,4.7707,1.6466,49278.089,49278.089,1.6466
MY,NG,10295.0244,17.8179,4.9273,-1.6461,7324.5832,7324.5832,1.6461
IT,GE,2527.035,17.3793,2.8332,-1.6451,26673.6183,26673.6183,1.6451
OM,CG,4975.6979,13.7279,1.0986,1.6438,13454.1131,13454.1131,1.6438
TW,HT,15057.7733,13.9343,2.0794,1.6423,21858.4046,21858.4046,1.6423
AF,SV,14158.038,13.908,1.9459,1.6407,-3661.8058,3661.8058,1.6407
MX,IQ,12750.9916,17.1891,1.9459,-1.6404,3591.7056,3591.7056,1.6404
DK,TJ,4828.3926,14.5797,5.1533,1.6394,52621.8204,52621.8204,1.6394
SA,AM,1799.489,17.1881,1.9459,-1.6393,16422.4961,16422.4961,1.6393
RO,UG,5007.2139,17.3,2.4849,-1.6387,8858.8218,8858.8218,1.6387
IL,HT,10460.7437,13.6498,0.69315,1.6372,36553.0168,36553.0168,1.6372
NO,GE,3089.4717,14.528,4.8903,1.6361,66958.8275,66958.8275,1.6361
CO,PY,3558.1921,17.0676,1.3863,-1.6358,1725.4007,1725.4007,1.6358
