country_from,country_to,distance,gravity,flow,offset,GDPDiff,GDPDiffabs
SI,TZ,6163.6532,14.9209,1.3863,0.51087,20425.3763,20425.3763
KW,KG,2791.3352,14.9673,1.6094,0.51114,27898.3638,27898.3638
AT,PH,10202.3236,15.9769,6.4409,0.51133,41225.4433,41225.4433
BE,GE,3077.5745,15.3098,3.2581,0.51317,37242.5074,37242.5074
BO,PH,19324.6488,14.9182,1.3863,0.51355,153.8842,153.8842
AF,LR,8423.9998,14.6279,0,0.51418,106.408,106.408
MT,IQ,2689.5744,14.6252,0,0.51687,20448.5699,20448.5699
CA,PA,5743.3739,15.3056,3.2581,0.51734,28477.692,28477.692
SI,CM,4319.7239,14.7686,0.69315,0.51832,20271.9214,20271.9214
KR,EC,15378.5275,15.0826,2.1972,0.5187,21569.822,21569.822
RO,EC,11167.6297,14.7667,0.69315,0.52018,3505.1465,3505.1465
LK,PE,17348.9931,14.6212,0,0.52082,-2210.2553,2210.2553
LT,KE,6268.3598,15.0804,2.1972,0.5209,13424.3205,13424.3205
CA,CL,10725.7584,15.547,4.4308,0.52108,28365.0019,28365.0019
GT,YE,14300.9779,14.6204,0,0.5216,3156.4094,3156.4094
MX,GE,11889.539,15.0262,1.9459,0.52258,4347.6563,4347.6563
CA,YE,11705.8735,15.804,5.6699,0.52303,41167.5932,41167.5932
AU,MZ,9919.7569,15.7712,5.5134,0.52316,49545.7502,49545.7502
CH,LB,2728.5348,15.7258,5.2983,0.52363,70898.646,70898.646
TT,GT,3187.5332,14.6165,0,0.52556,11230.3547,11230.3547
CZ,TG,4778.1129,15.0736,2.1972,0.52763,17688.088,17688.088
CA,BG,8130.1974,15.1798,2.7081,0.52824,34807.1322,34807.1322
NL,ZM,7574.6086,15.4091,3.8067,0.52855,44116.3921,44116.3921
IE,TZ,7775.5166,15.2942,3.2581,0.52876,60727.2891,60727.2891
BE,ZW,8100.1002,14.8428,1.0986,0.5289,40087.56,40087.56
AL,PH,10013.7575,14.9019,1.3863,0.52992,1195.8243,1195.8243
SE,UG,6637.4759,16.0483,6.8814,0.53195,50984.5601,50984.5601
RS,TG,4393.3783,14.8384,1.0986,0.53328,4769.8324,4769.8324
DE,BO,10345.3725,15.9449,6.3969,0.53409,38831.1025,38831.1025
LT,PH,9327.6545,15.0425,2.0794,0.53416,11928.6084,11928.6084
EC,MG,13590.7166,14.6078,0,0.53429,5567.6653,5567.6653
CY,AM,1159.6793,14.7496,0.69315,0.53735,19718.0497,19718.0497
DK,TZ,7341.2855,15.5921,4.7274,0.53799,52538.4705,52538.4705
DK,CM,5442.5565,15.3273,3.4657,0.53905,52385.0156,52385.0156
IQ,HN,12452.4325,14.5977,0,0.5443,2248.4431,2248.4431
PT,MG,8630.4259,15.0541,2.1972,0.54716,19411.9894,19411.9894
AU,YE,10278.2022,15.656,5.0876,0.54931,48937.4847,48937.4847
FI,ZA,10286.8152,14.8814,1.3863,0.55042,37816.6536,37816.6536
US,SR,5468.7974,15.6127,4.9127,0.55608,50982.3544,50982.3544
US,GE,10260.1626,16.2506,7.98,0.55931,53613.1372,53613.1372
BE,ZM,7433.0252,15.0416,2.1972,0.55968,39917.7694,39917.7694
DE,MN,6350.3357,15.641,5.0814,0.56303,38249.6069,38249.6069
CA,CM,11024.3849,15.7611,5.6699,0.5659,41125.2793,41125.2793
BG,TG,4490.8506,14.8044,1.0986,0.56724,6772.3341,6772.3341
EE,CD,6970.5532,14.5732,0,0.56886,17130.182,17130.182
MT,AL,767.8443,14.5723,0,0.56971,20911.2744,20911.2744
NZ,MX,11114.267,15.3935,3.9318,0.5703,31225.3173,31225.3173
CZ,TJ,4490.3662,15.3362,3.6636,0.57152,17470.7058,17470.7058
GB,LA,9158.7537,15.481,4.3567,0.57158,37546.2355,37546.2355
OM,BI,3958.2639,14.9048,1.6094,0.57363,14696.6305,14696.6305
SE,PH,9478.1904,16.2482,8.051,0.57649,48648.7969,48648.7969
JP,TG,13336.0023,15.5077,4.5109,0.5771,38316.006,38316.006
QA,RW,3804.8475,14.5648,0,0.57725,58628.0244,58628.0244
CZ,ZW,7771.7171,14.8537,1.3863,0.57808,17257.9524,17257.9524
SI,ML,3627.9936,14.8533,1.3863,0.57849,20524.0631,20524.0631
MZ,PY,9579.7696,14.5635,0,0.57857,-3698.1353,3698.1353
AR,AZ,14244.8166,14.562,0,0.58008,8572.2804,8572.2804
CA,PG,11802.5461,14.5603,0,0.58171,39629.928,39629.928
DK,JO,3533.2376,15.2836,3.4657,0.58276,49329.7268,49329.7268
QA,PH,7467.5052,15.3761,3.912,0.5836,56379.7881,56379.7881
KR,HN,13300.5228,14.7862,1.0986,0.58543,25177.6485,25177.6485
IE,MD,2646.9639,14.6992,0.69315,0.58772,59706.2815,59706.2815
KW,MX,13312.4117,14.8859,1.6094,0.59251,20774.0938,20774.0938
SI,MX,10035.605,14.7767,1.0986,0.59494,13103.2639,13103.2639
HR,BJ,4167.1808,14.7753,1.0986,0.59635,11301.2262,11301.2262
SE,GH,6031.2581,15.854,6.271,0.59867,50086.4078,50086.4078
LA,AZ,5647.2051,14.5425,0,0.59955,-1523.7836,1523.7836
IE,SN,4361.4195,15.168,2.9957,0.60012,60648.4092,60648.4092
HU,TG,4635.9053,15.061,2.4849,0.60034,12086.3857,12086.3857
UA,SV,10933.8349,14.6862,0.69315,0.60074,-2037.8565,2037.8565
TR,SV,11774.8127,15.1071,2.7081,0.6009,6564.0248,6564.0248
CA,GH,10205.5583,16.1006,7.4639,0.60135,40644.467,40644.467
KW,RW,3947.9723,14.9465,1.9459,0.60227,28272.5644,28272.5644
MU,YE,4112.2482,14.5387,0,0.60337,8637.261,8637.261
UA,NI,10781.4974,14.6831,0.69315,0.60386,34.346,34.346
NO,IL,3803.6401,14.9442,1.9459,0.60458,33519.8652,33519.8652
PT,BI,6148.6646,14.8712,1.6094,0.60718,19527.5808,19527.5808
CL,SV,5795.9956,15.0341,2.3979,0.60906,9569.3415,9569.3415
IL,TG,4314.449,15.0661,2.5649,0.61197,36714.1505,36714.1505
RS,SL,5065.3746,14.5257,0,0.61635,4852.2446,4852.2446
MY,CO,18954.5029,15.2562,3.4965,0.61665,3696.9631,3696.9631
HU,KG,4362.9517,14.9589,2.0794,0.61777,11587.8113,11587.8113
CO,KH,18107.9674,14.6652,0.69315,0.62176,4535.6981,4535.6981
DK,GH,5451.1636,15.5093,4.7362,0.62258,51904.2032,51904.2032
SE,GE,2592.7211,15.5165,4.7707,0.62263,47746.219,47746.219
CH,BJ,4208.4107,15.4525,4.4659,0.62295,78023.2103,78023.2103
AU,TL,2012.6534,15.8379,6.3135,0.62366,47825.8195,47825.8195
ES,KH,10629.003,15.6842,5.5797,0.62399,25258.5845,25258.5845
SE,ML,5067.3859,15.7528,5.9189,0.62629,50819.3618,50819.3618
JP,AL,9352.1981,15.2449,3.4965,0.62795,34747.5715,34747.5715
AF,EC,14987.1651,14.743,1.0986,0.62869,-5407.2054,5407.2054
BA,GE,2083.3998,14.9186,1.9459,0.63014,855.0684,855.0684
TW,GH,12802.7145,15.2145,3.3673,0.63135,21084.539,21084.539
IE,YE,6448.3544,14.9681,2.1972,0.63317,60616.1482,60616.1482
KW,ZW,5722.0773,14.5081,0,0.6339,27966.8027,27966.8027
QA,KG,2796.4916,14.5081,0,0.63399,58253.8238,58253.8238
GB,KH,9983.6998,16.1554,7.885,0.63462,38629.4811,38629.4811
AU,TD,13216.8831,14.5067,0,0.63532,49263.5239,49263.5239
HU,SL,5220.6391,14.7954,1.3863,0.63633,12168.798,12168.798
CZ,RW,5917.9411,15.0948,2.8332,0.63942,17563.7141,17563.7141
LT,GE,2007.2989,14.7906,1.3863,0.6412,11026.0304,11026.0304
NL,MG,8849.3358,15.5038,4.8122,0.64402,44893.4611,44893.4611
CH,ZM,6947.697,14.8725,1.7918,0.64404,77634.2628,77634.2628
SG,MG,6608.0169,14.9777,2.3026,0.64563,52559.3953,52559.3953
NZ,VN,9163.8224,15.4604,4.625,0.64829,37240.9332,37240.9332
PL,HN,9698.7247,15.1174,2.9957,0.65073,10011.2594,10011.2594
NZ,ZA,11561.542,14.4899,0,0.65217,34153.0296,34153.0296
HR,PH,10252.2114,15.2264,3.5264,0.65264,9139.5946,9139.5946
GH,SV,9569.793,14.4855,0,0.65658,-2710.1235,2710.1235
ZA,AM,8177.7665,14.7096,1.0986,0.66203,1667.4418,1667.4418
DO,YE,12297.2576,14.4794,0,0.6626,5731.8888,5731.8888
PT,ZW,7567.3151,14.8843,1.9459,0.66443,18804.7109,18804.7109
LT,BF,5260.5707,14.4758,0,0.66625,14229.9498,14229.9498
BG,ZW,6876.501,14.7052,1.0986,0.66642,6342.1985,6342.1985
MO,NP,3028.5624,14.4753,0,0.66676,72457.4276,72457.4276
NO,ZA,10208.02,14.8479,1.7918,0.66867,65538.8835,65538.8835
TW,TL,3658.7128,14.618,0.69315,0.66896,20496,20496
MY,SN,12708.5039,14.9061,2.0794,0.67055,8544.4947,8544.4947
MN,MX,11739.6249,14.8457,1.7918,0.67081,-4514.8546,4514.8546
CZ,KG,4593.2772,14.929,2.1972,0.67226,17189.5135,17189.5135
BG,CO,10456.0047,14.9699,2.3979,0.67332,1545.1905,1545.1905
TH,LR,11968.17,14.6122,0.69315,0.67472,5452.5427,5452.5427
JP,AM,7759.3938,15.6351,5.591,0.67548,35288.3157,35288.3157
SI,UG,5256.3068,14.9471,2.3026,0.67617,20689.2614,20689.2614
LU,PK,5606.3238,15.0918,2.9957,0.6763,101363.1286,101363.1286
EC,ZW,11757.2343,14.4649,0,0.67716,4960.3868,4960.3868
NZ,PH,8090.7886,15.8179,6.4739,0.67718,36475.5516,36475.5516
PL,BO,10940.5208,15.0544,2.8332,0.67975,9267.461,9267.461
